Rank,Title,Genre,Year,Revenue (Millions),Metascore,Votes
110,Ex Machina,"Drama,Mystery,Sci-Fi",2014,25.44,78,339797
111,The Belko Experiment,"Action,Horror,Thriller",2016,10.16,44,3712
112,12 Years a Slave,"Biography,Drama,History",2013,56.67,96,486338
113,The Bad Batch,"Romance,Sci-Fi",2016,,65,512
114,300,"Action,Fantasy,War",2006,210.59,52,637104
115,Harry Potter and the Deathly Hallows: Part 2,"Adventure,Drama,Fantasy",2011,380.96,87,590595
116,Office Christmas Party,Comedy,2016,54.73,42,30761
117,The Neon Demon,"Horror,Thriller",2016,1.33,51,50359
118,Dangal,"Action,Biography,Drama",2016,11.15,,48969
119,10 Cloverfield Lane,"Drama,Horror,Mystery",2016,71.9,76,192968
120,Finding Dory,"Animation,Adventure,Comedy",2016,486.29,77,157026
121,Miss Peregrine's Home for Peculiar Children,"Adventure,Drama,Family",2016,87.24,57,101058
122,Divergent,"Adventure,Mystery,Sci-Fi",2014,150.83,48,362093
123,Mike and Dave Need Wedding Dates,"Adventure,Comedy,Romance",2016,46.01,51,53183
124,Boyka: Undisputed IV,Action,2016,,,10428
125,The Dark Knight Rises,"Action,Thriller",2012,448.13,78,1222645
126,The Jungle Book,"Adventure,Drama,Family",2016,364,77,198243
127,Transformers: Age of Extinction,"Action,Adventure,Sci-Fi",2014,245.43,32,255483
128,Nerve,"Adventure,Crime,Mystery",2016,38.56,58,69651
129,Mamma Mia!,"Comedy,Family,Musical",2008,143.7,51,153481
130,The Revenant,"Adventure,Drama,Thriller",2015,183.64,76,499424
131,Fences,Drama,2016,57.64,79,50953
132,Into the Woods,"Adventure,Comedy,Drama",2014,128,69,109756
133,The Shallows,"Drama,Horror,Thriller",2016,55.12,59,78328
134,Whiplash,"Drama,Music",2014,13.09,88,477276
135,Furious 6,"Action,Crime,Thriller",2013,238.67,61,318051
136,The Place Beyond the Pines,"Crime,Drama,Thriller",2012,21.38,68,200090
137,No Country for Old Men,"Crime,Drama,Thriller",2007,74.27,91,660286
138,The Great Gatsby,"Drama,Romance",2013,144.81,55,386102
139,Shutter Island,"Mystery,Thriller",2010,127.97,63,855604
140,Brimstone,"Mystery,Thriller,Western",2016,,44,13004
141,Star Trek,"Action,Adventure,Sci-Fi",2009,257.7,82,526324
142,Diary of a Wimpy Kid,"Comedy,Family",2010,64,56,34184
143,The Big Short,"Biography,Comedy,Drama",2015,70.24,81,246360
144,Room,Drama,2015,14.68,86,224132
145,Django Unchained,"Drama,Western",2012,162.8,81,1039115
146,Ah-ga-ssi,"Drama,Mystery,Romance",2016,2.01,84,33418
147,The Edge of Seventeen,"Comedy,Drama",2016,14.26,77,47694
148,Watchmen,"Action,Drama,Mystery",2009,107.5,56,410249
149,Superbad,Comedy,2007,121.46,76,442082
150,Inferno,"Action,Adventure,Crime",2016,34.26,42,97623
151,The BFG,"Adventure,Family,Fantasy",2016,55.47,66,50853
152,The Hunger Games,"Adventure,Sci-Fi,Thriller",2012,408,68,735604
153,White Girl,Drama,2016,0.2,65,4299
154,Sicario,"Action,Crime,Drama",2015,46.88,82,243230
155,Twin Peaks: The Missing Pieces,"Drama,Horror,Mystery",2014,,,1973
156,Aliens vs Predator - Requiem,"Action,Horror,Sci-Fi",2007,41.8,29,97618
157,Pacific Rim,"Action,Adventure,Sci-Fi",2013,101.79,64,400519
158,"Crazy, Stupid, Love.","Comedy,Drama,Romance",2011,84.24,68,396714
159,Scott Pilgrim vs. the World,"Action,Comedy,Fantasy",2010,31.49,69,291457
160,Hot Fuzz,"Action,Comedy,Mystery",2007,23.62,81,373244
161,Mine,"Thriller,War",2016,,40,5926
162,Free Fire,"Action,Comedy,Crime",2016,1.8,63,6946
163,X-Men: Days of Future Past,"Action,Adventure,Sci-Fi",2014,233.91,74,552298
164,Jack Reacher: Never Go Back,"Action,Adventure,Crime",2016,58.4,47,78043
165,Casino Royale,"Action,Adventure,Thriller",2006,167.01,80,495106
166,Twilight,"Drama,Fantasy,Romance",2008,191.45,56,361449
167,Now You See Me 2,"Action,Adventure,Comedy",2016,65.03,46,156567
168,Woman in Gold,"Biography,Drama,History",2015,33.31,51,39723
169,13 Hours,"Action,Drama,History",2016,52.82,48,76935
170,Spectre,"Action,Adventure,Thriller",2015,200.07,60,308981
171,Nightcrawler,"Crime,Drama,Thriller",2014,32.28,76,332476
172,Kubo and the Two Strings,"Animation,Adventure,Family",2016,48.02,84,72778
173,Beyond the Gates,"Adventure,Horror",2016,,59,2127
174,Her,"Drama,Romance,Sci-Fi",2013,25.56,90,390531
175,Frozen,"Animation,Adventure,Comedy",2013,400.74,74,451894
176,Tomorrowland,"Action,Adventure,Family",2015,93.42,60,143069
177,Dawn of the Planet of the Apes,"Action,Adventure,Drama",2014,208.54,79,337777
178,Tropic Thunder,"Action,Comedy",2008,110.42,71,321442
179,The Conjuring 2,"Horror,Mystery,Thriller",2016,102.46,65,137203
180,Ant-Man,"Action,Adventure,Comedy",2015,180.19,64,368912
181,Bridget Jones's Baby,"Comedy,Romance",2016,24.09,59,43086
182,The VVitch: A New-England Folktale,"Horror,Mystery",2015,25.14,83,101781
183,Cinderella,"Drama,Family,Fantasy",2015,201.15,67,117018
184,Realive,Sci-Fi,2016,,,1176
185,Forushande,"Drama,Thriller",2016,3.4,85,22389
186,Love,"Drama,Romance",2015,,51,24003
187,Billy Lynn's Long Halftime Walk,"Drama,War",2016,1.72,53,11944
188,Crimson Peak,"Drama,Fantasy,Horror",2015,31.06,66,97454
189,Drive,"Crime,Drama",2011,35.05,78,461509
190,Trainwreck,"Comedy,Drama,Romance",2015,110.01,75,106364
191,The Light Between Oceans,"Drama,Romance",2016,12.53,60,27382
192,Below Her Mouth,Drama,2016,,42,1445
193,Spotlight,"Crime,Drama,History",2015,44.99,93,268282
194,Morgan,"Horror,Sci-Fi,Thriller",2016,3.91,48,22107
195,Warrior,"Action,Drama,Sport",2011,13.65,71,355722
196,Captain America: The First Avenger,"Action,Adventure,Sci-Fi",2011,176.64,66,547368
197,Hacker,"Crime,Drama,Thriller",2016,,,3799
198,Into the Wild,"Adventure,Biography,Drama",2007,18.35,73,459304
199,The Imitation Game,"Biography,Drama,Thriller",2014,91.12,73,532353
200,Central Intelligence,"Action,Comedy,Crime",2016,127.38,52,97082
201,Edge of Tomorrow,"Action,Adventure,Sci-Fi",2014,100.19,71,471815
202,A Cure for Wellness,"Drama,Fantasy,Horror",2016,8.1,47,12193
203,Snowden,"Biography,Drama,Thriller",2016,21.48,58,79855
204,Iron Man,"Action,Adventure,Sci-Fi",2008,318.3,79,737719
205,Allegiant,"Action,Adventure,Mystery",2016,66,33,70504
206,X: First Class,"Action,Adventure,Sci-Fi",2011,146.41,65,550011
207,Raw (II),"Drama,Horror",2016,0.51,81,5435
208,Paterson,"Comedy,Drama,Romance",2016,2.14,90,26089
209,Bridesmaids,"Comedy,Romance",2011,169.08,75,227912
210,The Girl with All the Gifts,"Drama,Horror,Thriller",2016,,67,23713
211,San Andreas,"Action,Adventure,Drama",2015,155.18,43,161396
212,Spring Breakers,Drama,2012,14.12,63,114290
213,Transformers,"Action,Adventure,Sci-Fi",2007,318.76,61,531112
214,Old Boy,"Action,Drama,Mystery",2013,,49,54679
215,Thor: The Dark World,"Action,Adventure,Fantasy",2013,206.36,54,443584
216,Gods of Egypt,"Action,Adventure,Fantasy",2016,31.14,25,73568
217,Captain America: The Winter Soldier,"Action,Adventure,Sci-Fi",2014,259.75,70,542362
218,Monster Trucks,"Action,Adventure,Comedy",2016,33.04,41,7044
219,A Dark Song,"Drama,Horror",2016,,67,1703
220,Kick-Ass,"Action,Comedy",2010,48.04,66,456749
221,Hardcore Henry,"Action,Adventure,Sci-Fi",2015,9.24,51,61098
222,Cars,"Animation,Adventure,Comedy",2006,244.05,73,283445
223,It Follows,"Horror,Mystery",2014,14.67,83,136399
224,The Girl with the Dragon Tattoo,"Crime,Drama,Mystery",2011,102.52,71,348551
225,We're the Millers,"Comedy,Crime",2013,150.37,44,334867
226,American Honey,Drama,2016,0.66,79,19660
227,The Lobster,"Comedy,Drama,Romance",2015,8.7,82,121313
228,Predators,"Action,Adventure,Sci-Fi",2010,52,51,179450
229,Maleficent,"Action,Adventure,Family",2014,241.41,56,268877
230,Rupture,"Horror,Sci-Fi,Thriller",2016,,35,2382
231,Pan's Labyrinth,"Drama,Fantasy,War",2006,37.62,98,498879
232,A Kind of Murder,"Crime,Drama,Thriller",2016,0,50,3305
233,Apocalypto,"Action,Adventure,Drama",2006,50.86,68,247926
234,Mission: Impossible - Rogue Nation,"Action,Adventure,Thriller",2015,195,75,257472
235,The Huntsman: Winter's War,"Action,Adventure,Drama",2016,47.95,35,66766
236,The Perks of Being a Wallflower,"Drama,Romance",2012,17.74,67,377336
237,Jackie,"Biography,Drama,History",2016,13.96,81,41446
238,The Disappointments Room,"Drama,Horror,Thriller",2016,2.41,31,4895
239,The Grand Budapest Hotel,"Adventure,Comedy,Drama",2014,59.07,88,530881
240,The Host,"Action,Adventure,Romance",2013,26.62,35,96852
241,Fury,"Action,Drama,War",2014,85.71,64,332234
242,Inside Out,"Animation,Adventure,Comedy",2015,356.45,94,416689
243,Rock Dog,"Animation,Adventure,Comedy",2016,9.4,48,1109
244,Terminator Genisys,"Action,Adventure,Sci-Fi",2015,89.73,38,205365
245,Percy Jackson & the Olympians: The Lightning Thief,"Adventure,Family,Fantasy",2010,88.76,47,148949
246,Les Misérables,"Drama,Musical,Romance",2012,148.78,63,257426
247,Children of Men,"Drama,Sci-Fi,Thriller",2006,35.29,84,382910
248,20th Century Women,"Comedy,Drama",2016,5.66,83,14708
249,Spy,"Action,Comedy,Crime",2015,110.82,75,188017
250,The Intouchables,"Biography,Comedy,Drama",2011,13.18,57,557965
251,Bonjour Anne,"Comedy,Drama,Romance",2016,0.32,50,178
252,Kynodontas,"Drama,Thriller",2009,0.11,73,50946
253,Straight Outta Compton,"Biography,Drama,History",2015,161.03,72,139831
254,The Amazing Spider-Man 2,"Action,Adventure,Sci-Fi",2014,202.85,53,342183
255,The Conjuring,"Horror,Mystery,Thriller",2013,137.39,68,330305
256,The Hangover,Comedy,2009,277.31,73,611563
257,Battleship,"Action,Adventure,Sci-Fi",2012,65.17,41,210349
258,Rise of the Planet of the Apes,"Action,Drama,Sci-Fi",2011,176.74,68,422290
259,Lights Out,Horror,2016,67.24,58,69823
260,Norman: The Moderate Rise and Tragic Fall of a New York Fixer,"Drama,Thriller",2016,2.27,76,664
261,Birdman or (The Unexpected Virtue of Ignorance),"Comedy,Drama,Romance",2014,42.34,88,440299
262,Black Swan,"Drama,Thriller",2010,106.95,79,581518
263,Dear White People,"Comedy,Drama",2014,4.4,79,21715
264,Nymphomaniac: Vol. I,Drama,2013,0.79,64,90556
265,Teenage Mutant Ninja Turtles: Out of the Shadows,"Action,Adventure,Comedy",2016,0.54,40,59312
266,Knock Knock,"Drama,Horror,Thriller",2015,0.03,53,53441
267,Dirty Grandpa,Comedy,2016,35.54,18,75137
268,Cloud Atlas,"Drama,Sci-Fi",2012,27.1,55,298651
269,X-Men Origins: Wolverine,"Action,Adventure,Sci-Fi",2009,179.88,40,388447
270,Satanic,Horror,2016,,,2384
271,Skyfall,"Action,Adventure,Thriller",2012,304.36,81,547386
272,The Hobbit: An Unexpected Journey,"Adventure,Fantasy",2012,303,58,668651
273,21 Jump Street,"Action,Comedy,Crime",2012,138.45,69,432046
274,Sing Street,"Comedy,Drama,Music",2016,3.23,79,52144
275,Ballerina,"Animation,Adventure,Comedy",2016,,,4729
276,Oblivion,"Action,Adventure,Mystery",2013,89.02,54,410125
277,22 Jump Street,"Action,Comedy,Crime",2014,191.62,71,280110
278,Zodiac,"Crime,Drama,History",2007,33.05,78,329683
279,Everybody Wants Some!!,Comedy,2016,3.37,83,36312
280,Iron Man Three,"Action,Adventure,Sci-Fi",2013,408.99,62,591023
281,Now You See Me,"Crime,Mystery,Thriller",2013,117.7,50,492324
282,Sherlock Holmes,"Action,Adventure,Crime",2009,209.02,57,501769
283,Death Proof,Thriller,2007,,,220236
284,The Danish Girl,"Biography,Drama,Romance",2015,12.71,66,110773
285,Hercules,"Action,Adventure",2014,72.66,47,122838
286,Sucker Punch,"Action,Fantasy",2011,36.38,33,204874
287,Keeping Up with the Joneses,"Action,Comedy",2016,14.9,34,30405
288,Jupiter Ascending,"Action,Adventure,Sci-Fi",2015,47.38,40,150121
289,Masterminds,"Action,Comedy,Crime",2016,17.36,47,26508
290,Iris,Thriller,2016,,,726
291,Busanhaeng,"Action,Drama,Horror",2016,2.13,72,58782
292,Pitch Perfect,"Comedy,Music,Romance",2012,65,66,226631
293,Neighbors 2: Sorority Rising,Comedy,2016,55.29,58,76327
294,The Exception,Drama,2016,,,96
295,Man of Steel,"Action,Adventure,Fantasy",2013,291.02,55,577010
296,The Choice,"Drama,Romance",2016,18.71,26,20514
297,Ice Age: Collision Course,"Animation,Adventure,Comedy",2016,64.06,34,34523
298,The Devil Wears Prada,"Comedy,Drama",2006,124.73,62,302268
299,The Infiltrator,"Biography,Crime,Drama",2016,15.43,66,43929
300,There Will Be Blood,"Drama,History",2007,40.22,92,400682
301,The Equalizer,"Action,Crime,Thriller",2014,101.53,57,249425
302,Lone Survivor,"Action,Biography,Drama",2013,125.07,60,218996
303,The Cabin in the Woods,Horror,2012,42.04,72,295554
304,The House Bunny,"Comedy,Romance",2008,48.24,55,67033
305,She's Out of My League,"Comedy,Romance",2010,31.58,46,105619
306,Inherent Vice,"Comedy,Crime,Drama",2014,8.09,81,69509
307,Alice Through the Looking Glass,"Adventure,Family,Fantasy",2016,77.04,34,57207
308,Vincent N Roxxy,"Crime,Drama,Thriller",2016,,,403
309,The Fast and the Furious: Tokyo Drift,"Action,Crime,Thriller",2006,62.49,45,193479
310,How to Be Single,"Comedy,Romance",2016,46.81,51,59886
311,The Blind Side,"Biography,Drama,Sport",2009,255.95,53,237221
312,La vie d'Adèle,"Drama,Romance",2013,2.2,88,103150
313,The Babadook,"Drama,Horror",2014,0.92,86,132580
314,The Hobbit: The Battle of the Five Armies,"Adventure,Fantasy",2014,255.11,59,385598
315,Harry Potter and the Order of the Phoenix,"Adventure,Family,Fantasy",2007,292,71,385325
316,Snowpiercer,"Action,Drama,Sci-Fi",2013,4.56,84,199048
317,The 5th Wave,"Action,Adventure,Sci-Fi",2016,34.91,33,73093
318,The Stakelander,"Action,Horror",2016,,,1263
319,The Visit,"Comedy,Horror,Thriller",2015,65.07,55,81429
320,Fast Five,"Action,Crime,Thriller",2011,209.81,66,300803
321,Step Up,"Crime,Drama,Music",2006,65.27,48,95960
322,Lovesong,Drama,2016,0.01,74,616
323,RocknRolla,"Action,Crime,Thriller",2008,5.69,53,203096
324,In Time,"Action,Sci-Fi,Thriller",2011,37.55,53,319025
325,The Social Network,"Biography,Drama",2010,96.92,95,510100
326,The Last Witch Hunter,"Action,Adventure,Fantasy",2015,27.36,34,71149
327,Victor Frankenstein,"Drama,Horror,Sci-Fi",2015,5.77,36,37975
328,A Street Cat Named Bob,"Biography,Comedy,Drama",2016,0.04,54,12643
329,Green Room,"Crime,Horror,Thriller",2015,3.22,79,62885
330,Blackhat,"Crime,Drama,Mystery",2015,7.1,51,43085
331,Storks,"Animation,Adventure,Comedy",2016,72.66,56,34248
332,American Sniper,"Action,Biography,Drama",2014,350.12,72,353305
333,Dallas Buyers Club,"Biography,Drama",2013,27.3,84,352801
334,Lincoln,"Biography,Drama,History",2012,182.2,86,207497
335,Rush,"Action,Biography,Drama",2013,26.9,75,339722
336,Before I Wake,"Drama,Fantasy,Horror",2016,,,18201
337,Silver Linings Playbook,"Comedy,Drama,Romance",2012,132.09,81,564364
338,Tracktown,"Drama,Sport",2016,,64,115
339,The Fault in Our Stars,"Drama,Romance",2014,124.87,69,271301
340,Blended,"Comedy,Romance",2014,46.28,31,93764
341,Fast & Furious,"Action,Crime,Thriller",2009,155.02,46,217464
342,Looper,"Action,Crime,Drama",2012,66.47,84,452369
343,White House Down,"Action,Drama,Thriller",2013,73.1,52,173320
344,Pete's Dragon,"Adventure,Family,Fantasy",2016,76.2,71,36322
345,Spider-Man 3,"Action,Adventure",2007,336.53,59,406219
346,The Three Musketeers,"Action,Adventure,Romance",2011,20.32,35,92329
347,Stardust,"Adventure,Family,Fantasy",2007,38.35,66,220664
348,American Hustle,"Crime,Drama",2013,150.12,90,379088
349,Jennifer's Body,"Comedy,Horror",2009,16.2,47,96617
350,Midnight in Paris,"Comedy,Fantasy,Romance",2011,56.82,81,320323
351,Lady Macbeth,Drama,2016,,83,1396
352,Joy,Drama,2015,56.44,56,97679
353,The Dressmaker,"Comedy,Drama",2015,2.02,47,33352
354,Café Society,"Comedy,Drama,Romance",2016,11.08,64,45579
355,Insurgent,"Adventure,Sci-Fi,Thriller",2015,130,42,171970
356,Seventh Son,"Action,Adventure,Fantasy",2014,17.18,30,59958
357,Demain tout commence,"Comedy,Drama",2016,,,5496
358,The Theory of Everything,"Biography,Drama,Romance",2014,35.89,72,299718
359,This Is the End,"Comedy,Fantasy",2013,101.47,67,327838
360,About Time,"Comedy,Drama,Fantasy",2013,15.29,55,221600
361,Step Brothers,Comedy,2008,100.47,51,223065
362,Clown,"Horror,Thriller",2014,0.05,42,14248
363,Star Trek Into Darkness,"Action,Adventure,Sci-Fi",2013,228.76,72,417663
364,Zombieland,"Adventure,Comedy,Horror",2009,75.59,73,409403
365,"Hail, Caesar!","Comedy,Mystery",2016,30,72,89059
366,Slumdog Millionaire,Drama,2008,141.32,86,677044
367,The Twilight Saga: Breaking Dawn - Part 2,"Adventure,Drama,Fantasy",2012,292.3,52,194329
368,American Wrestler: The Wizard,"Drama,Sport",2016,,,286
369,The Amazing Spider-Man,"Action,Adventure",2012,262.03,66,474320
370,Ben-Hur,"Action,Adventure,Drama",2016,26.38,38,28326
371,Sleight,"Action,Drama,Sci-Fi",2016,3.85,62,702
372,The Maze Runner,"Action,Mystery,Sci-Fi",2014,102.41,57,335531
373,Criminal,"Action,Crime,Drama",2016,14.27,36,38430
374,Wanted,"Action,Crime,Fantasy",2008,134.57,64,312495
375,Florence Foster Jenkins,"Biography,Comedy,Drama",2016,27.37,71,31776
376,Collide,"Action,Crime,Thriller",2016,2.2,33,7583
377,Black Mass,"Biography,Crime,Drama",2015,62.56,68,135706
378,Creed,"Drama,Sport",2015,109.71,82,175673
379,Swiss Army Man,"Adventure,Comedy,Drama",2016,4.21,64,61812
380,The Expendables 3,"Action,Adventure,Thriller",2014,39.29,35,137568
381,What We Do in the Shadows,"Comedy,Fantasy,Horror",2014,3.33,76,84016
382,Southpaw,"Drama,Sport",2015,52.42,57,169083
383,Hush,"Horror,Thriller",2016,,67,45867
384,Bridge of Spies,"Drama,History,Thriller",2015,72.31,81,217938
385,The Lego Movie,"Animation,Action,Adventure",2014,257.76,83,266508
386,Everest,"Action,Adventure,Drama",2015,43.25,64,154647
387,Pixels,"Action,Comedy,Family",2015,78.75,27,101092
388,Robin Hood,"Action,Adventure,Drama",2010,105.22,53,221117
389,The Wolverine,"Action,Adventure,Sci-Fi",2013,132.55,60,355362
390,John Carter,"Action,Adventure,Sci-Fi",2012,73.06,51,220667
391,Keanu,"Action,Comedy",2016,20.57,63,31913
392,The Gunman,"Action,Crime,Drama",2015,10.64,39,31194
393,Steve Jobs,"Biography,Drama",2015,17.75,82,116112
394,Whisky Galore,"Comedy,Romance",2016,,43,102
395,Grown Ups 2,Comedy,2013,133.67,19,114482
396,The Age of Adaline,"Drama,Fantasy,Romance",2015,42.48,51,112288
397,The Incredible Hulk,"Action,Adventure,Sci-Fi",2008,134.52,61,342355
398,Couples Retreat,Comedy,2009,109.18,23,86417
399,Absolutely Anything,"Comedy,Sci-Fi",2015,,31,26587
400,Magic Mike,"Comedy,Drama",2012,113.71,72,113686
401,Minions,"Animation,Action,Adventure",2015,336.03,56,159830
402,The Black Room,Horror,2016,,71,240
403,Bronson,"Action,Biography,Crime",2008,0.1,,93972
404,Despicable Me,"Animation,Adventure,Comedy",2010,251.5,72,410607
405,The Best of Me,"Drama,Romance",2014,26.76,29,49041
406,The Invitation,"Drama,Mystery,Thriller",2015,0.23,74,40529
407,Zero Dark Thirty,"Drama,History,Thriller",2012,95.72,95,226661
