rank of the week,name,weekly sales,total sales,week after release
36,"Crash Bandicoot N. Sane Trilogy (NS)Activision, Platform",Pro,N/A,27
37,"Astro Bot Rescue Mission (PS4)Sony Interactive Entertainment, Platform",Pro,N/A,13
38,"WWE 2K19 (PS4)Take-Two Interactive, Fighting",Pro,N/A,12
39,"Crash Bandicoot N. Sane Trilogy (PS4)Activision, Platform",Pro,N/A,79
40,"Mario + Rabbids Kingdom Battle (NS)Ubisoft, Strategy",Pro,N/A,70
41,"PlayStation VR Worlds (PS4)Sony Interactive Entertainment, Misc",Pro,N/A,116
42,"Diablo III: Eternal Collection (NS)Activision, Action",Pro,N/A,9
43,"FIFA 19 (NS)Electronic Arts, Sports",Pro,N/A,14
44,"Starlink: Battle for Atlas (NS)Ubisoft, Action-Adventure",Pro,N/A,11
45,"Madden NFL 19 (XOne)Electronic Arts, Sports",Pro,N/A,21
46,"Farming Simulator 19 (PS4)Focus Home Interactive, Simulation",Pro,N/A,6
47,"Hitman 2 (PS4)Warner Bros. Interactive Entertainment, Action-Adventure",Pro,N/A,7
48,"Fallout 76 (XOne)Bethesda Softworks, Role-Playing",Pro,N/A,7
49,"PlayerUnknown's Battlegrounds (PS4)Sony Interactive Entertainment, Shooter",Pro,N/A,4
50,"Donkey Kong Country: Tropical Freeze (NS)Nintendo, Platform",Pro,N/A,35
51,"Mario Tennis Aces (NS)Nintendo, Sports",Pro,N/A,28
52,"Tetris Effect (PS4)Sony Interactive Entertainment, Puzzle",Pro,N/A,8
53,"Kirby (NS)Nintendo, Platform",Pro,N/A,42
54,"Nintendo Labo: Toy-Con 01 Variety Kit (NS)Nintendo, Misc",Pro,N/A,37
55,"Spyro Reignited Trilogy (XOne)Activision, Platform",Pro,N/A,7
56,"Just Cause 4 (XOne)Square Enix, Action-Adventure",Pro,N/A,4
57,"Project Octopath Traveler (NS)Nintendo, Role-Playing",Pro,N/A,25
58,"Go Vacation (NS)Nintendo, Misc",Pro,N/A,23
59,"Detroit: Become Human (PS4)Sony Interactive Entertainment, Adventure",Pro,N/A,32
60,"1-2-Switch (NS)Nintendo, Party",Pro,N/A,96
61,"LEGO DC Super-Villains (PS4)Warner Bros. Interactive Entertainment, Action-Adventure",Pro,N/A,11
62,"Carnival Games (NS)Take-Two Interactive, Party",Pro,N/A,8
63,"Crash Bandicoot N.Sane Trilogy (XOne)Activision, Platform",Pro,N/A,27
64,"Borderlands 2 VR (PS4)Take-Two Interactive, Shooter",Pro,N/A,3
65,"Dragon Quest Builders 2 (NS)Square Enix, Adventure",Pro,N/A,2
66,"LEGO Marvel Super Heroes 2 (NS)Warner Bros. Interactive Entertainment, Action",Pro,N/A,59
67,"Creed: Rise to Glory (PS4)Sony Interactive Entertainment, Sports",Pro,N/A,14
68,"LEGO Harry Potter Collection (NS)Warner Bros. Interactive Entertainment, Action",Pro,N/A,9
69,"MineCraft (PS4)Sony Computer Entertainment, Misc",Pro,N/A,222
70,"Mario Kart (3DS)Nintendo, Racing",Pro,N/A,370
71,"Overcooked! 2 (NS)Sold Out, Simulation",Pro,N/A,21
72,"LEGO DC Super-Villains (NS)Warner Bros. Interactive Entertainment, Action-Adventure",Pro,N/A,11
73,"Gran Turismo Sport (PS4)Sony Interactive Entertainment, Racing",Pro,N/A,63
74,"Pokemon: Ultra Sun and Ultra Moon (3DS)Nintendo, Role-Playing",Pro,N/A,59
75,"Dragon Quest Builders 2 (PS4)Square Enix, Adventure",Pro,N/A,2
1,"Super Smash Bros. (2018) (NS)Nintendo, Fighting","1,651,501","7,847,115",3
2,"Red Dead Redemption 2 (PS4)Take-Two Interactive, Action-Adventure","1,037,426","13,234,796",9
3,"Call of Duty: Black Ops IIII (PS4)Activision, Shooter","701,380","8,805,574",11
4,"Super Mario Party (NS)Nintendo, Party","661,185","4,550,437",12
5,"Mario Kart 8 Deluxe (NS)Nintendo, Racing","635,341","12,607,717",87
6,"Pokemon: Let's Go, Pikachu! (NS)Nintendo, Role-Playing","632,668","4,228,729",6
7,"Spider-Man (PS4) (PS4)Sony Interactive Entertainment, Action-Adventure","571,935","8,331,168",16
8,"FIFA 19 (PS4)Electronic Arts, Sports","531,234","8,774,358",13
9,"Red Dead Redemption 2 (XOne)Take-Two Interactive, Action-Adventure","476,961","5,489,900",9
10,"Call of Duty: Black Ops IIII (XOne)Activision, Shooter","385,358","4,600,073",11
11,"Battlefield V (PS4)Electronic Arts, Shooter","293,380","2,005,849",5
12,"Super Mario Odyssey (NS)Nintendo, Platform","262,146","11,526,993",61
13,"Pokemon: Let's Go, Eevee! (NS)Nintendo, Role-Playing","261,628","2,546,303",6
14,"Assassin's Creed Odyssey (PS4)Ubisoft, Action-Adventure","236,536","3,000,939",12
15,"Spyro Reignited Trilogy (PS4)Activision, Platform","234,696","2,002,928",6
16,"Battlefield V (XOne)Electronic Arts, Shooter","208,072","1,398,125",5
17,"The Legend of Zelda: Breath of the Wild (NS)Nintendo, Action-Adventure","199,745","9,308,935",95
18,"Minecraft (NS)Mojang, Sandbox","179,665","1,762,896",27
19,"God of War (PS4) (PS4)Sony Interactive Entertainment, Action","168,601","6,050,393",36
20,"Forza Horizon 4 (XOne)Microsoft Studios, Racing","162,585","1,718,510",12
21,"NBA 2K19 (PS4)Take-Two Interactive, Sports","159,555","2,506,934",15
22,"FIFA 19 (XOne)Electronic Arts, Sports","148,970","2,129,239",13
23,"Grand Theft Auto V (XOne)Take-Two Interactive, Action","146,083","8,646,968",214
24,"Just Dance 2019 (NS)Ubisoft, Music","138,998","696,209",9
25,"Grand Theft Auto V (PS4)Take-Two Interactive, Action","132,253","19,280,737",214
26,"Fortnite (XOne)Gearbox Software, Action","127,876","702,694",75
27,"Splatoon 2 (NS)Nintendo, Shooter","125,140","6,941,179",75
28,"Dragon Quest Builders 2 (PS4)Square Enix, Adventure","117,247","117,247",1
29,"NBA 2K19 (XOne)Take-Two Interactive, Sports","116,005","1,653,590",15
30,"Assassin's Creed Odyssey (XOne)Ubisoft, Action-Adventure","112,993","1,309,388",12
31,"Just Cause 4 (PS4)Square Enix, Action-Adventure",Pro,N/A,3
32,"Dragon Quest Builders 2 (NS)Square Enix, Adventure",Pro,N/A,1
33,"Fallout 76 (PS4)Bethesda Softworks, Role-Playing",Pro,N/A,6
34,"Mario + Rabbids Kingdom Battle (NS)Ubisoft, Strategy",Pro,N/A,69
35,"Fortnite (PS4)Gearbox Software, Action",Pro,N/A,75
36,"Fallout 76 (XOne)Bethesda Softworks, Role-Playing",Pro,N/A,6
37,"Tetris Effect (PS4)Sony Interactive Entertainment, Puzzle",Pro,N/A,7
38,"Madden NFL 19 (PS4)Electronic Arts, Sports",Pro,N/A,20
39,"Fortnite (NS)Warner Bros. Interactive Entertainment, Shooter",Pro,N/A,6
40,"Crash Bandicoot N. Sane Trilogy (NS)Activision, Platform",Pro,N/A,26
41,"Farming Simulator 19 (PS4)Focus Home Interactive, Simulation",Pro,N/A,5
42,"Spyro Reignited Trilogy (XOne)Activision, Platform",Pro,N/A,6
43,"LEGO DC Super-Villains (NS)Warner Bros. Interactive Entertainment, Action-Adventure",Pro,N/A,10
44,"PlayStation VR Worlds (PS4)Sony Interactive Entertainment, Misc",Pro,N/A,115
45,"Diablo III: Eternal Collection (NS)Activision, Action",Pro,N/A,8
46,"Shadow of the Tomb Raider (PS4)Square Enix, Action-Adventure",Pro,N/A,15
47,"Astro Bot Rescue Mission (PS4)Sony Interactive Entertainment, Platform",Pro,N/A,12
48,"Starlink: Battle for Atlas (NS)Ubisoft, Action-Adventure",Pro,N/A,10
49,"WWE 2K19 (PS4)Take-Two Interactive, Fighting",Pro,N/A,11
50,"FIFA 19 (NS)Electronic Arts, Sports",Pro,N/A,13
51,"Crash Bandicoot N. Sane Trilogy (PS4)Activision, Platform",Pro,N/A,78
52,"Nintendo Labo: Toy-Con 01 Variety Kit (NS)Nintendo, Misc",Pro,N/A,36
53,"PlayerUnknown's Battlegrounds (PS4)Sony Interactive Entertainment, Shooter",Pro,N/A,3
54,"Pokemon: Ultra Sun and Ultra Moon (3DS)Nintendo, Role-Playing",Pro,N/A,58
55,"Madden NFL 19 (XOne)Electronic Arts, Sports",Pro,N/A,20
56,"Shadow of the Colossus (PS4)Sony Interactive Entertainment, Action-Adventure",Pro,N/A,46
57,"Donkey Kong Country: Tropical Freeze (NS)Nintendo, Platform",Pro,N/A,34
58,"Mario Tennis Aces (NS)Nintendo, Sports",Pro,N/A,27
59,"Just Cause 4 (XOne)Square Enix, Action-Adventure",Pro,N/A,3
60,"Project Octopath Traveler (NS)Nintendo, Role-Playing",Pro,N/A,24
61,"Kirby (NS)Nintendo, Platform",Pro,N/A,41
62,"Hitman 2 (PS4)Warner Bros. Interactive Entertainment, Action-Adventure",Pro,N/A,6
63,"MineCraft (XOne)Microsoft Studios, Misc",Pro,N/A,214
64,"Farming Simulator 19 (XOne)Focus Home Interactive, Simulation",Pro,N/A,5
65,"Nintendo Labo: Toy-Con 03 Vehicle Kit (NS)Nintendo, Racing",Pro,N/A,15
66,"Mario Kart (3DS)Nintendo, Racing",Pro,N/A,369
67,"MineCraft (PS4)Sony Computer Entertainment, Misc",Pro,N/A,221
68,"Sonic Mania (NS)Sega, Platform",Pro,N/A,71
69,"Overcooked! 2 (NS)Sold Out, Simulation",Pro,N/A,20
70,"Crash Bandicoot N.Sane Trilogy (XOne)Activision, Platform",Pro,N/A,26
71,"Captain Toad: Treasure Tracker (NS)Nintendo, Puzzle",Pro,N/A,24
72,"Sega Genesis Classics (NS)Sega, Misc",Pro,N/A,3
73,"Just Dance 2019 (Wii)Ubisoft, Music",Pro,N/A,9
74,"Sid Meier's Civilization VI (NS)Take-Two Interactive, Strategy",Pro,N/A,6
75,"1-2-Switch (NS)Nintendo, Party",Pro,N/A,95
1,"Super Smash Bros. (2018) (NS)Nintendo, Fighting","1,770,809","6,195,614",2
2,"Red Dead Redemption 2 (PS4)Take-Two Interactive, Action-Adventure","893,225","12,197,370",8
3,"Call of Duty: Black Ops IIII (PS4)Activision, Shooter","559,118","8,104,194",10
4,"Mario Kart 8 Deluxe (NS)Nintendo, Racing","538,110","11,972,376",86
5,"Super Mario Party (NS)Nintendo, Party","513,809","3,889,252",11
6,"FIFA 19 (PS4)Electronic Arts, Sports","423,664","8,243,124",12
7,"Pokemon: Let's Go, Pikachu! (NS)Nintendo, Role-Playing","398,055","3,596,061",5
8,"Spider-Man (PS4) (PS4)Sony Interactive Entertainment, Action-Adventure","387,221","7,759,233",15
9,"Red Dead Redemption 2 (XOne)Take-Two Interactive, Action-Adventure","379,553","5,012,939",8
10,"Call of Duty: Black Ops IIII (XOne)Activision, Shooter","287,663","4,214,715",10
11,"Battlefield V (PS4)Electronic Arts, Shooter","246,983","1,712,469",4
12,"Pokemon: Let's Go, Eevee! (NS)Nintendo, Role-Playing","238,120","2,284,675",5
13,"Super Mario Odyssey (NS)Nintendo, Platform","192,111","11,264,847",60
14,"Spyro Reignited Trilogy (PS4)Activision, Platform","184,149","1,768,232",5
15,"Minecraft (NS)Mojang, Sandbox","177,640","1,583,231",26
16,"Battlefield V (XOne)Electronic Arts, Shooter","166,417","1,190,053",4
17,"The Legend of Zelda: Breath of the Wild (NS)Nintendo, Action-Adventure","165,115","9,109,190",94
18,"Assassin's Creed Odyssey (PS4)Ubisoft, Action-Adventure","149,459","2,764,403",11
19,"Judgment (PS4)Sega, Action-Adventure","147,993","147,993",1
20,"God Eater 3 (PS4)Bandai Namco Entertainment, Role-Playing","146,772","146,772",1
21,"NBA 2K19 (PS4)Take-Two Interactive, Sports","140,559","2,347,379",14
22,"Forza Horizon 4 (XOne)Microsoft Studios, Racing","131,241","1,555,925",11
23,"Just Dance 2019 (NS)Ubisoft, Music","122,604","557,211",8
24,"Just Cause 4 (PS4)Square Enix, Action-Adventure","111,419","364,994",2
25,"Fortnite (XOne)Gearbox Software, Action","111,069","574,818",74
26,"God of War (PS4) (PS4)Sony Interactive Entertainment, Action","103,558","5,881,792",35
27,"FIFA 19 (XOne)Electronic Arts, Sports","101,546","1,980,269",12
28,"Splatoon 2 (NS)Nintendo, Shooter","97,576","6,816,039",74
29,"NBA 2K19 (XOne)Take-Two Interactive, Sports","96,624","1,537,585",14
30,"Fortnite (NS)Warner Bros. Interactive Entertainment, Shooter","96,559","533,333",5
31,"Crash Bandicoot N. Sane Trilogy (NS)Activision, Platform",Pro,N/A,25
32,"Fortnite (PS4)Gearbox Software, Action",Pro,N/A,74
33,"Fallout 76 (PS4)Bethesda Softworks, Role-Playing",Pro,N/A,5
34,"PlayerUnknown's Battlegrounds (PS4)Sony Interactive Entertainment, Shooter",Pro,N/A,2
35,"Fallout 76 (XOne)Bethesda Softworks, Role-Playing",Pro,N/A,5
36,"Assassin's Creed Odyssey (XOne)Ubisoft, Action-Adventure",Pro,N/A,11
37,"Madden NFL 19 (PS4)Electronic Arts, Sports",Pro,N/A,19
38,"Spyro Reignited Trilogy (XOne)Activision, Platform",Pro,N/A,5
39,"Farming Simulator 19 (PS4)Focus Home Interactive, Simulation",Pro,N/A,4
40,"Nintendo Labo: Toy-Con 01 Variety Kit (NS)Nintendo, Misc",Pro,N/A,35
41,"PlayStation VR Worlds (PS4)Sony Interactive Entertainment, Misc",Pro,N/A,114
42,"Astro Bot Rescue Mission (PS4)Sony Interactive Entertainment, Platform",Pro,N/A,11
43,"MineCraft (XOne)Microsoft Studios, Misc",Pro,N/A,213
44,"Shadow of the Tomb Raider (PS4)Square Enix, Action-Adventure",Pro,N/A,14
45,"Madden NFL 19 (XOne)Electronic Arts, Sports",Pro,N/A,19
46,"Grand Theft Auto V (PS4)Take-Two Interactive, Action",Pro,N/A,213
47,"Hitman 2 (PS4)Warner Bros. Interactive Entertainment, Action-Adventure",Pro,N/A,5
48,"Diablo III: Eternal Collection (NS)Activision, Action",Pro,N/A,7
49,"LEGO The Incredibles (NS)Warner Bros. Interactive Entertainment, Action",Pro,N/A,27
50,"Starlink: Battle for Atlas (NS)Ubisoft, Action-Adventure",Pro,N/A,9
51,"Just Cause 4 (XOne)Square Enix, Action-Adventure",Pro,N/A,2
52,"WWE 2K19 (PS4)Take-Two Interactive, Fighting",Pro,N/A,10
53,"Donkey Kong Country: Tropical Freeze (NS)Nintendo, Platform",Pro,N/A,33
54,"Katamari Damacy Reroll (NS)Bandai Namco Entertainment, Action",Pro,N/A,2
55,"Nintendo Labo: Toy-Con 03 Vehicle Kit (NS)Nintendo, Racing",Pro,N/A,14
56,"Mario Kart (3DS)Nintendo, Racing",Pro,N/A,368
57,"Mario Tennis Aces (NS)Nintendo, Sports",Pro,N/A,26
58,"MineCraft (PS4)Sony Computer Entertainment, Misc",Pro,N/A,220
59,"Crash Bandicoot N. Sane Trilogy (PS4)Activision, Platform",Pro,N/A,77
60,"FIFA 19 (NS)Electronic Arts, Sports",Pro,N/A,12
61,"Luigi's Mansion (3DS)Nintendo, Adventure",Pro,N/A,10
62,"Kirby (NS)Nintendo, Platform",Pro,N/A,40
63,"1-2-Switch (NS)Nintendo, Party",Pro,N/A,94
64,"Captain Toad: Treasure Tracker (NS)Nintendo, Puzzle",Pro,N/A,23
65,"Horizon: Zero Dawn (PS4)Sony Interactive Entertainment, Action",Pro,N/A,94
66,"No Man's Sky (PS4)Hello Games, Action-Adventure",Pro,N/A,123
67,"Tetris Effect (PS4)Sony Interactive Entertainment, Puzzle",Pro,N/A,6
68,"Rocket League (PS4)505 Games, Sports",Pro,N/A,130
69,"Carnival Games (NS)Take-Two Interactive, Party",Pro,N/A,6
70,"Mario + Rabbids Kingdom Battle (NS)Ubisoft, Strategy",Pro,N/A,68
71,"Sonic Mania (NS)Sega, Platform",Pro,N/A,70
72,"Sports Party (NS)Ubisoft, Sports",Pro,N/A,7
73,"Farming Simulator 19 (PC)Focus Home Interactive, Simulation",Pro,N/A,4
74,"Bendy and the Ink Machine (NS)Rooster Teeth Games, Puzzle",Pro,N/A,4
75,"Pokemon: Ultra Sun and Ultra Moon (3DS)Nintendo, Role-Playing",Pro,N/A,57
1,"Super Smash Bros. (2018) (NS)Nintendo, Fighting","4,424,805","4,424,805",1
2,"Red Dead Redemption 2 (PS4)Take-Two Interactive, Action-Adventure","754,403","11,304,145",7
3,"Super Mario Party (NS)Nintendo, Party","537,281","3,375,443",10
4,"Call of Duty: Black Ops IIII (PS4)Activision, Shooter","455,327","7,545,076",9
5,"Mario Kart 8 Deluxe (NS)Nintendo, Racing","452,318","11,434,266",85
6,"Pokemon: Let's Go, Pikachu! (NS)Nintendo, Role-Playing","407,005","3,198,006",4
7,"FIFA 19 (PS4)Electronic Arts, Sports","364,186","7,819,460",11
8,"Spider-Man (PS4) (PS4)Sony Interactive Entertainment, Action-Adventure","331,083","7,372,012",14
9,"Red Dead Redemption 2 (XOne)Take-Two Interactive, Action-Adventure","288,684","4,633,386",7
10,"Just Cause 4 (PS4)Square Enix, Action-Adventure","253,575","253,575",1
11,"Battlefield V (PS4)Electronic Arts, Shooter","252,064","1,465,486",3
12,"Pokemon: Let's Go, Eevee! (NS)Nintendo, Role-Playing","242,607","2,046,555",4
13,"Call of Duty: Black Ops IIII (XOne)Activision, Shooter","237,809","3,927,052",9
14,"Battlefield V (XOne)Electronic Arts, Shooter","218,097","1,023,636",3
15,"Super Mario Odyssey (NS)Nintendo, Platform","167,163","11,072,736",59
16,"NBA 2K19 (PS4)Take-Two Interactive, Sports","165,887","2,206,820",13
17,"Spyro Reignited Trilogy (PS4)Activision, Platform","162,853","1,584,083",4
18,"The Legend of Zelda: Breath of the Wild (NS)Nintendo, Action-Adventure","149,181","8,944,075",93
19,"Assassin's Creed Odyssey (PS4)Ubisoft, Action-Adventure","147,542","2,614,944",10
20,"Minecraft (NS)Mojang, Sandbox","139,582","1,405,591",25
21,"MineCraft (XOne)Microsoft Studios, Misc","133,426","5,285,325",212
22,"PlayerUnknown's Battlegrounds (PS4)Sony Interactive Entertainment, Shooter","130,145","130,145",1
23,"Just Cause 4 (XOne)Square Enix, Action-Adventure","124,481","124,481",1
24,"God of War (PS4) (PS4)Sony Interactive Entertainment, Action","108,630","5,778,234",34
25,"NBA 2K19 (XOne)Take-Two Interactive, Sports","107,602","1,440,961",13
26,"Madden NFL 19 (PS4)Electronic Arts, Sports","93,145","1,965,810",18
27,"Just Dance 2019 (NS)Ubisoft, Music","87,709","434,607",7
28,"Forza Horizon 4 (XOne)Microsoft Studios, Racing","86,731","1,424,684",10
29,"Splatoon 2 (NS)Nintendo, Shooter","86,252","6,718,463",73
30,"Fortnite (PS4)Gearbox Software, Action","85,093","638,942",73
31,"Fallout 76 (PS4)Bethesda Softworks, Role-Playing",Pro,N/A,4
32,"Fallout 76 (XOne)Bethesda Softworks, Role-Playing",Pro,N/A,4
33,"Fortnite (NS)Warner Bros. Interactive Entertainment, Shooter",Pro,N/A,4
34,"Assassin's Creed Odyssey (XOne)Ubisoft, Action-Adventure",Pro,N/A,10
35,"LEGO The Incredibles (NS)Warner Bros. Interactive Entertainment, Action",Pro,N/A,26
36,"FIFA 19 (XOne)Electronic Arts, Sports",Pro,N/A,11
37,"Crash Bandicoot N. Sane Trilogy (NS)Activision, Platform",Pro,N/A,24
38,"Shadow of the Tomb Raider (PS4)Square Enix, Action-Adventure",Pro,N/A,13
39,"WWE 2K19 (PS4)Take-Two Interactive, Fighting",Pro,N/A,9
40,"Sega Genesis Classics (NS)Sega, Misc",Pro,N/A,1
41,"PlayStation VR Worlds (PS4)Sony Interactive Entertainment, Misc",Pro,N/A,113
42,"Fortnite (XOne)Gearbox Software, Action",Pro,N/A,73
43,"Spyro Reignited Trilogy (XOne)Activision, Platform",Pro,N/A,4
44,"Katamari Damacy Reroll (NS)Bandai Namco Entertainment, Action",Pro,N/A,1
45,"Madden NFL 19 (XOne)Electronic Arts, Sports",Pro,N/A,18
46,"Nintendo Labo: Toy-Con 01 Variety Kit (NS)Nintendo, Misc",Pro,N/A,34
47,"Persona Dancing: All-Star Triple Pack (PS4)Atlus, Music",Pro,N/A,29
48,"Grand Theft Auto V (PS4)Take-Two Interactive, Action",Pro,N/A,212
49,"Mario Kart (3DS)Nintendo, Racing",Pro,N/A,367
50,"Donkey Kong Country: Tropical Freeze (NS)Nintendo, Platform",Pro,N/A,32
51,"Astro Bot Rescue Mission (PS4)Sony Interactive Entertainment, Platform",Pro,N/A,10
52,"Starlink: Battle for Atlas (NS)Ubisoft, Action-Adventure",Pro,N/A,8
53,"Diablo III: Eternal Collection (NS)Activision, Action",Pro,N/A,6
54,"Hitman 2 (PS4)Warner Bros. Interactive Entertainment, Action-Adventure",Pro,N/A,4
55,"FIFA 19 (NS)Electronic Arts, Sports",Pro,N/A,11
56,"Mario Tennis Aces (NS)Nintendo, Sports",Pro,N/A,25
57,"MineCraft (PS4)Sony Computer Entertainment, Misc",Pro,N/A,219
58,"Sonic Mania (NS)Sega, Platform",Pro,N/A,69
59,"Nintendo Labo: Toy-Con 03 Vehicle Kit (NS)Nintendo, Racing",Pro,N/A,13
60,"Farming Simulator 19 (PC)Focus Home Interactive, Simulation",Pro,N/A,3
61,"Farming Simulator 19 (PS4)Focus Home Interactive, Simulation",Pro,N/A,3
62,"Farming Simulator 19 (XOne)Focus Home Interactive, Simulation",Pro,N/A,3
63,"Pokemon: Ultra Sun and Ultra Moon (3DS)Nintendo, Role-Playing",Pro,N/A,56
64,"LEGO DC Super-Villains (NS)Warner Bros. Interactive Entertainment, Action-Adventure",Pro,N/A,8
65,"Subnautica (PS4)Gearbox Software, Adventure",Pro,N/A,1
66,"Darksiders III (PS4)THQ Nordic, Action",Pro,N/A,2
67,"1-2-Switch (NS)Nintendo, Party",Pro,N/A,93
68,"Dragon Quest XI (PS4)Square Enix, Role-Playing",Pro,N/A,72
69,"Luigi's Mansion (3DS)Nintendo, Adventure",Pro,N/A,9
70,"Dragon Ball Fighter Z (PS4)Namco Bandai Games, Fighting",Pro,N/A,46
71,"Kirby (NS)Nintendo, Platform",Pro,N/A,39
72,"Mario + Rabbids Kingdom Battle (NS)Ubisoft, Strategy",Pro,N/A,67
73,"Horizon: Zero Dawn (PS4)Sony Interactive Entertainment, Action",Pro,N/A,93
74,"Dragon Ball FighterZ (NS)Bandai Namco Entertainment, Fighting",Pro,N/A,11
75,"Detroit: Become Human (PS4)Sony Interactive Entertainment, Adventure",Pro,N/A,29
1,"Red Dead Redemption 2 (PS4)Take-Two Interactive, Action-Adventure","776,342","10,549,742",6
2,"Call of Duty: Black Ops IIII (PS4)Activision, Shooter","569,520","7,089,749",8
3,"FIFA 19 (PS4)Electronic Arts, Sports","516,941","7,455,274",10
4,"Super Mario Party (NS)Nintendo, Party","498,616","2,838,162",9
5,"Pokemon: Let's Go, Pikachu! (NS)Nintendo, Role-Playing","493,204","2,791,001",3
6,"Spider-Man (PS4) (PS4)Sony Interactive Entertainment, Action-Adventure","455,042","7,040,929",13
7,"Mario Kart 8 Deluxe (NS)Nintendo, Racing","424,353","10,981,948",84
8,"Battlefield V (PS4)Electronic Arts, Shooter","379,258","1,213,422",2
9,"Call of Duty: Black Ops IIII (XOne)Activision, Shooter","337,060","3,689,243",8
10,"Pokemon: Let's Go, Eevee! (NS)Nintendo, Role-Playing","299,625","1,803,948",3
11,"Red Dead Redemption 2 (XOne)Take-Two Interactive, Action-Adventure","299,609","4,344,702",6
12,"Battlefield V (XOne)Electronic Arts, Shooter","271,654","805,539",2
13,"Assassin's Creed Odyssey (PS4)Ubisoft, Action-Adventure","244,173","2,467,402",9
14,"Spyro Reignited Trilogy (PS4)Activision, Platform","221,634","1,421,230",3
15,"NBA 2K19 (PS4)Take-Two Interactive, Sports","214,465","2,040,933",12
16,"MineCraft (XOne)Microsoft Studios, Misc","208,887","5,151,899",211
17,"God of War (PS4) (PS4)Sony Interactive Entertainment, Action","200,721","5,669,604",33
18,"Fallout 76 (PS4)Bethesda Softworks, Role-Playing","148,137","981,080",3
19,"Madden NFL 19 (PS4)Electronic Arts, Sports","140,363","1,872,665",17
20,"Forza Horizon 4 (XOne)Microsoft Studios, Racing","134,964","1,337,953",9
21,"The Legend of Zelda: Breath of the Wild (NS)Nintendo, Action-Adventure","129,719","8,794,894",92
22,"Darksiders III (PS4)THQ Nordic, Action","128,698","128,698",1
23,"NBA 2K19 (XOne)Take-Two Interactive, Sports","128,695","1,333,359",12
24,"Shadow of the Tomb Raider (PS4)Square Enix, Action-Adventure","128,361","1,457,905",12
25,"Super Mario Odyssey (NS)Nintendo, Platform","127,811","10,905,573",58
26,"Minecraft (NS)Mojang, Sandbox","118,210","1,266,009",24
27,"Fallout 76 (XOne)Bethesda Softworks, Role-Playing","114,802","619,174",3
28,"FIFA 19 (XOne)Electronic Arts, Sports","113,211","1,799,283",10
